time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.front_left,.front_right,.rear_left,.rear_right
2021/09/10/13:52:54.758592,2272,1631296374,757909536,,265,116,124,118
2021/09/10/13:52:54.784323,2273,1631296374,783886432,,266,116,126,118
2021/09/10/13:52:54.800397,2274,1631296374,799893140,,267,116,126,121
2021/09/10/13:52:54.826252,2275,1631296374,825784921,,268,116,126,121
2021/09/10/13:52:54.842078,2276,1631296374,841702461,,269,116,126,121
2021/09/10/13:52:54.858462,2277,1631296374,857834339,,270,120,126,121
2021/09/10/13:52:54.884061,2278,1631296374,883736848,,271,120,124,121
2021/09/10/13:52:54.900162,2279,1631296374,899629831,,272,120,124,125
2021/09/10/13:52:54.925984,2280,1631296374,925598144,,273,120,124,125
2021/09/10/13:52:54.941829,2281,1631296374,941494703,,274,120,124,125
2021/09/10/13:52:54.958057,2282,1631296374,957573890,,275,123,124,125
2021/09/10/13:52:54.983812,2283,1631296374,983477115,,276,123,120,122
2021/09/10/13:52:54.999939,2284,1631296374,999475002,,277,123,120,122
2021/09/10/13:52:55.025787,2285,1631296375,25425672,,278,123,120,122
2021/09/10/13:52:55.041708,2286,1631296375,41382789,,279,123,120,122
2021/09/10/13:52:55.057937,2287,1631296375,57416439,,280,120,120,122
2021/09/10/13:52:55.084892,2288,1631296375,84433794,,281,120,117,120
2021/09/10/13:52:55.100883,2289,1631296375,100363254,,282,120,117,117
2021/09/10/13:52:55.126498,2290,1631296375,126226186,,283,120,117,117
2021/09/10/13:52:55.142748,2291,1631296375,142243385,,284,120,117,117
2021/09/10/13:52:55.159400,2292,1631296375,158365011,,285,118,117,117
2021/09/10/13:52:55.184584,2293,1631296375,184142589,,286,118,118,117
2021/09/10/13:52:55.200541,2294,1631296375,200143575,,287,118,118,117
2021/09/10/13:52:55.226428,2295,1631296375,226083755,,288,118,118,117
2021/09/10/13:52:55.242441,2296,1631296375,242030858,,289,118,118,117
2021/09/10/13:52:55.258785,2297,1631296375,258143424,,290,118,118,117
2021/09/10/13:52:55.284413,2298,1631296375,283977508,,291,118,116,117
2021/09/10/13:52:55.300711,2299,1631296375,300017118,,292,118,115,115
2021/09/10/13:52:55.326328,2300,1631296375,325933694,,293,118,115,115
2021/09/10/13:52:55.342198,2301,1631296375,341833829,,294,118,115,115
2021/09/10/13:52:55.358544,2302,1631296375,357943296,,295,117,115,115
2021/09/10/13:52:55.384263,2303,1631296375,383830308,,296,116,115,115
2021/09/10/13:52:55.400276,2304,1631296375,399734973,,297,116,111,112
2021/09/10/13:52:55.426021,2305,1631296375,425699949,,298,116,111,112
2021/09/10/13:52:55.442008,2306,1631296375,441660881,,299,116,111,112
2021/09/10/13:52:55.458380,2307,1631296375,457721233,,300,116,111,112
2021/09/10/13:52:55.483976,2308,1631296375,483631134,,301,111,111,112
2021/09/10/13:52:55.499964,2309,1631296375,499630689,,302,111,109,112
2021/09/10/13:52:55.527225,2310,1631296375,526538372,,303,111,109,109
2021/09/10/13:52:55.542723,2311,1631296375,542435407,,304,111,109,109
2021/09/10/13:52:55.559331,2312,1631296375,558642625,,305,111,109,109
2021/09/10/13:52:55.584858,2313,1631296375,584482908,,306,113,109,109
2021/09/10/13:52:55.601144,2314,1631296375,600477933,,307,113,109,109
2021/09/10/13:52:55.627009,2315,1631296375,626390695,,308,113,106,108
2021/09/10/13:52:55.642830,2316,1631296375,642305612,,309,113,106,108
2021/09/10/13:52:55.659114,2317,1631296375,658492326,,310,113,106,108
2021/09/10/13:52:55.684720,2318,1631296375,684290170,,311,111,106,108
2021/09/10/13:52:55.700577,2319,1631296375,700231075,,312,111,106,108
